,Points,Score,Weigh,x-xbar Points,x-xbar Score,x-xbar Weight
Mazda RX4,3.9,2.62,16.46,0.09,0.36,1.93
Mazda RX4 Wag,3.9,2.875,17.02,0.09,0.12,0.69
Datsun 710,3.85,2.32,18.61,0.06,0.81,0.58
Hornet 4 Drive,3.08,3.215,19.44,0.27,0.00,2.53
Hornet Sportabout,3.15,3.44,17.02,0.20,0.05,0.69
Valiant,2.76,3.46,20.22,0.71,0.06,5.62
Duster 360,3.21,3.57,15.84,0.15,0.12,4.04
Merc 240D,3.69,3.19,20,0.01,0.00,4.62
Merc 230,3.92,3.15,22.9,0.10,0.00,25.50
Merc 280,3.92,3.44,18.3,0.10,0.05,0.20
Merc 280C,3.92,3.44,18.9,0.10,0.05,1.10
Merc 450SE,3.07,4.07,17.4,0.28,0.72,0.20
Merc 450SL,3.07,3.73,17.6,0.28,0.26,0.06
Merc 450SLC,3.07,3.78,18,0.28,0.31,0.02
Cadillac Fleetwood,2.93,5.25,17.98,0.45,4.12,0.02
Lincoln Continental,3,5.424,17.82,0.36,4.86,0.00
Chrysler Imperial,3.23,5.345,17.42,0.14,4.52,0.18
Fiat 128,4.08,2.2,19.47,0.23,1.04,2.62
Honda Civic,4.93,1.615,18.52,1.77,2.58,0.45
Toyota Corolla,4.22,1.835,19.9,0.38,1.92,4.20
Toyota Corona,3.7,2.465,20.01,0.01,0.57,4.67
Dodge Challenger,2.76,3.52,16.87,0.71,0.09,0.96
AMC Javelin,3.15,3.435,17.3,0.20,0.05,0.30
Camaro Z28,3.73,3.84,15.41,0.02,0.38,5.95
Pontiac Firebird,3.08,3.845,17.05,0.27,0.39,0.64
Fiat X1-9,4.08,1.935,18.9,0.23,1.65,1.10
Porsche 914-2,4.43,2.14,16.7,0.69,1.17,1.32
Lotus Europa,3.77,1.513,16.9,0.03,2.91,0.90
Ford Pantera L,4.22,3.17,14.5,0.38,0.00,11.22
Ferrari Dino,3.62,2.77,15.5,0.00,0.20,5.52
Maserati Bora,3.54,3.57,14.6,0.00,0.12,10.56
Volvo 142E,4.11,2.78,18.6,0.26,0.19,0.56
,,,,,,
SUM,,,,8.86,29.68,98.99
,,,VAR,0.29,0.96,3.19
,,,S.D,0.53,0.98,1.79
,,,,,,
,,,,,,
Mean,3.6,3.22,17.85,,,
Median,3.7,3.33,17.71,,,
Mode,3.92,3.44,17.02,,,
Variance,0.29,0.96,3.19,,,
S.D,0.53,0.98,1.79,,,
MAX,4.93,5.42,22.90,,,
MIN,2.76,1.51,14.50,,,
,,,,,,
RANGE,2.17,3.91,8.40,,,
COUNT,32,32,32,,,
